Id,total_days,avg_daily_steps,median_daily_steps,sd_daily_steps,cv_steps,min_steps,max_steps,avg_calories,days_with_sleep_data,avg_sleep_minutes,avg_sleep_efficiency,consistency_category,engagement_level
1503960366,31,12116.741935483871,12207,3052.484201081058,0.251922853299521,0,18134,1816.4193548387098,25,360.28,0.9363853096202286,High Consistency,High Engagement
1624580081,31,5743.903225806452,4026,6177.04861216012,1.0754095898426028,1510,36019,1483.3548387096773,0,NA,NA,Low Consistency,Moderate Engagement
1644430081,30,7282.966666666666,6683.5,4325.478825265024,0.5939171526161534,1223,18213,2811.3,4,294,0.8820403876004859,Low Consistency,Moderate Engagement
1844505072,31,2580.0645161290327,2237,2712.8368538669865,1.0514608595668598,0,8054,1573.483870967742,3,652,0.6784599375650364,Low Consistency,Low Engagement
1927972279,31,916.1290322580645,152,1205.269063789921,1.3156105977988573,0,3790,2172.8064516129034,5,417,0.947008102905974,Low Consistency,Low Engagement
2022484408,31,11370.645161290322,11548,2806.9947102240512,0.2468632756019904,3292,18387,2509.967741935484,0,NA,NA,High Consistency,High Engagement
2026352035,31,5566.870967741936,5528,2977.834814558339,0.5349207538334995,254,12357,1540.6451612903227,28,506.17857142857144,0.9413413817950906,Low Consistency,Moderate Engagement
2320127002,31,4716.870967741936,5057,2254.614641750492,0.47798946741802073,772,10725,1724.1612903225807,1,61,0.8840579710144928,Moderate Consistency,Low Engagement
2347167796,18,9519.666666666666,9781,4682.093699592599,0.4918337861542,42,22244,2043.4444444444443,15,446.8,0.9103703669407986,Moderate Consistency,Moderate Engagement
2873212765,31,7555.774193548387,7762,1514.4715846278402,0.2004389683748086,2524,9685,1916.967741935484,0,NA,NA,High Consistency,Moderate Engagement
3372868164,20,6861.65,7150.5,1842.4513212165557,0.2685143254489162,3077,9715,1933.1,0,NA,NA,High Consistency,Moderate Engagement
3977333714,30,10984.566666666668,11604,3134.1416102871503,0.2853222803770578,746,16520,1513.6666666666667,28,293.64285714285717,0.6336690783788377,High Consistency,High Engagement
4020332650,31,2267.2258064516127,62,3369.7906236607378,1.4863056930949132,0,11728,2385.8064516129034,8,349.375,0.9303575827388795,Low Consistency,Low Engagement
4057192912,4,3838,4689,2691.6656553145676,0.701319868503014,0,5974,1973.75,0,NA,NA,Low Consistency,Low Engagement
4319703577,31,7268.8387096774195,8221,3467.055706664991,0.4769751875288004,17,13658,2037.6774193548388,26,476.65384615384613,0.9474974886759654,Moderate Consistency,Moderate Engagement
4388161847,31,10813.935483870968,10243,3373.130533450925,0.31192441812529437,3369,22770,3093.8709677419356,23,420.6521739130435,0.9472358254962459,Moderate Consistency,High Engagement
4445114986,31,4796.548387096775,4514,1937.0706894468196,0.4038467942193069,768,9105,2186.1935483870966,28,385.17857142857144,0.9253888737881236,Moderate Consistency,Low Engagement
4558609924,31,7685.129032258064,7833,2356.961288636076,0.3066911796461468,3428,13743,2033.258064516129,5,127.6,0.9071276554333297,Moderate Consistency,Moderate Engagement
4702921684,31,8572.064516129032,8614,3451.8482772323955,0.4026857556586822,0,15126,2965.548387096774,27,436.74074074074076,0.9524705768018094,Moderate Consistency,Moderate Engagement
5553957443,31,8612.58064516129,9769,5074.505038419632,0.5891968095846608,655,17022,1875.6774193548388,31,463.48387096774195,0.9152072640377418,Low Consistency,Moderate Engagement
5577150313,30,8304.433333333332,8232.5,3846.985821288584,0.46324483163072544,0,15764,3359.633333333333,26,432,0.9392114958308437,Moderate Consistency,Moderate Engagement
6117666160,28,7046.714285714285,7332,4887.698154415558,0.6936137831392322,0,19542,2261.1428571428573,18,478.77777777777777,0.9401978380765398,Low Consistency,Moderate Engagement
6290855005,29,5649.551724137931,6277,2857.612309831495,0.5058122218126148,0,9837,2599.6206896551726,0,NA,NA,Low Consistency,Moderate Engagement
6775888955,26,2519.6923076923076,1624.5,3027.8025400508627,1.2016556667682627,0,10771,2131.769230769231,3,349.6666666666667,0.9420280048358866,Low Consistency,Low Engagement
6962181067,31,9794.806451612903,10433,3941.7533866656754,0.40243300428020096,1551,20031,1982.032258064516,31,448,0.9614872484018995,Moderate Consistency,Moderate Engagement
7007744171,26,11323.423076923076,13291,5306.47759760146,0.46862839633855613,0,20067,2544,2,68.5,0.9571171531387445,Moderate Consistency,High Engagement
7086361926,31,9371.774193548386,10091,3857.0933158677703,0.41156490075518765,0,14560,2566.3548387096776,24,453.125,0.9713149988886259,Moderate Consistency,Moderate Engagement
8053475328,31,14763.290322580646,15108,5440.962054597504,0.36854670847158516,1170,22988,2945.8064516129034,3,297,0.9848879098008452,Moderate Consistency,High Engagement
8253242879,19,6482.157894736842,6466,3141.325131977797,0.4846110173478467,0,11268,1788,0,NA,NA,Moderate Consistency,Moderate Engagement
8378563200,31,8717.709677419354,8382,3929.338521036744,0.45073060086120237,2132,16208,3436.5806451612902,31,457.64516129032256,0.9175083503736388,Moderate Consistency,Moderate Engagement
8583815059,31,7198.5161290322585,6174,3401.7292746578933,0.4725597906127369,0,15168,2732.032258064516,0,NA,NA,Moderate Consistency,Moderate Engagement
8792009665,29,1853.7241379310344,1320,2327.36021364107,1.2555051563598167,0,8360,1962.3103448275863,15,435.6666666666667,0.9603924591769254,Low Consistency,Low Engagement
8877689391,31,16040.032258064517,15118,5821.315134823464,0.3629241538399436,4790,29326,3420.2580645161293,0,NA,NA,Moderate Consistency,High Engagement
