Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,day_name,weekday,is_weekend,sleep_efficiency,activity_level,total_active_minutes,non_sedentary_minutes,active_percentage,steps_bin
1503960366,4/12/2016,13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,2016-04-12,1,327,346,Tuesday,2,FALSE,0.9450867052023122,Highly Active,366,712,0.5140449438202247,"[1.25e+04,1.5e+04)"
1503960366,4/13/2016,10735,6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,1797,2016-04-13,2,384,407,Wednesday,3,FALSE,0.9434889434889435,Active,257,664,0.3870481927710843,"[1e+04,1.25e+04)"
1503960366,4/14/2016,10460,6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,1776,2016-04-14,NA,NA,NA,Thursday,4,FALSE,NA,Active,222,222,1,"[1e+04,1.25e+04)"
1503960366,4/15/2016,9762,6.28000020980835,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1745,2016-04-15,1,412,442,Friday,5,FALSE,0.9321266968325792,Somewhat Active,272,714,0.38095238095238093,"[7.5e+03,1e+04)"
1503960366,4/16/2016,12669,8.15999984741211,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,1863,2016-04-16,2,340,367,Saturday,6,TRUE,0.9264305177111717,Highly Active,267,667,0.4002998500749625,"[1.25e+04,1.5e+04)"
1503960366,4/17/2016,9705,6.48000001907349,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1728,2016-04-17,1,700,712,Sunday,7,TRUE,0.9831460674157303,Somewhat Active,222,901,0.24639289678135406,"[7.5e+03,1e+04)"
1503960366,4/18/2016,13019,8.59000015258789,8.59000015258789,0,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,1921,2016-04-18,NA,NA,NA,Monday,1,FALSE,NA,Highly Active,291,291,1,"[1.25e+04,1.5e+04)"
1503960366,4/19/2016,15506,9.88000011444092,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,2035,2016-04-19,1,304,320,Tuesday,2,FALSE,0.95,Highly Active,345,665,0.518796992481203,"[1.5e+04,1.75e+04)"
1503960366,4/20/2016,10544,6.67999982833862,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1786,2016-04-20,1,360,377,Wednesday,3,FALSE,0.9549071618037135,Active,245,622,0.39389067524115756,"[1e+04,1.25e+04)"
1503960366,4/21/2016,9819,6.34000015258789,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1775,2016-04-21,1,325,364,Thursday,4,FALSE,0.8928571428571429,Somewhat Active,238,602,0.3953488372093023,"[7.5e+03,1e+04)"
