"Id","avg_steps","days_tracked"
8877689391,16040.0322580645,31
8053475328,14763.2903225806,31
1503960366,12116.7419354839,31
2022484408,11370.6451612903,31
7007744171,11323.4230769231,26
3977333714,10984.5666666667,30
4388161847,10813.935483871,31
6962181067,9794.8064516129,31
2347167796,9519.66666666667,18
7086361926,9371.77419354839,31
8378563200,8717.70967741935,31
5553957443,8612.58064516129,31
4702921684,8572.06451612903,31
5577150313,8304.43333333333,30
4558609924,7685.12903225806,31
2873212765,7555.77419354839,31
1644430081,7282.96666666667,30
4319703577,7268.83870967742,31
8583815059,7198.51612903226,31
6117666160,7046.71428571429,28
3372868164,6861.65,20
8253242879,6482.15789473684,19
1624580081,5743.90322580645,31
6290855005,5649.55172413793,29
2026352035,5566.87096774194,31
4445114986,4796.54838709677,31
2320127002,4716.87096774194,31
4057192912,3838,4
1844505072,2580.06451612903,31
6775888955,2519.69230769231,26
4020332650,2267.22580645161,31
8792009665,1853.72413793103,29
1927972279,916.129032258065,31
